LATITUDE,LONGITUDE,Clusters
45.48038428000007,-122.67453292999994,0
42.388647,-72.529312,1
39.24427778200004,-119.939124651,2
33.13142857200006,-117.118565978,3
26.70538,-80.136711,4
38.72876088500004,-90.38025209799996,5
33.937727,-83.37143,6
33.463987,-86.908933,7
41.33127,-74.159642,1
47.64894,-122.377121,8
43.613794,-116.594823,9
39.757598494000035,-84.20062816799998,10
43.03572956100004,-88.11102224999996,11
32.80085968700007,-96.81952389099996,12
40.09054511200003,-75.01134351799999,1
40.26363500200006,-76.67560813499995,1
40.04455,-74.22087602199997,1
40.800732,-77.861644,13
40.68404910800007,-76.18895495799995,1
30.670409452000055,-88.11478818099994,14
32.79697501900006,-79.96139872699996,15
34.99631414300006,-81.97039233399994,16
31.771662219000063,-106.37095339799998,17
35.512549265000075,-97.478182464,18
33.692248,-116.185875,19
33.822163525000065,-85.76640599199999,275
32.35010879600003,-86.34305734699996,20
37.172938671000054,-104.51218416799998,-1
39.790583609000066,-105.07594260099997,21
38.68693697300006,-87.52065033499997,-1
37.35462881900003,-79.94219614599996,22
40.76007201500005,-73.99108024799995,1
42.11562784100005,-79.21886221899996,23
40.825397819000045,-81.37786146599996,24
40.05369676600003,-75.38209657799996,1
42.91063746400005,-85.59656282699996,25
37.79078029800007,-122.40595565299998,26
40.70419036000004,-73.42783826699997,1
41.303928,-72.927753,1
41.96509531100003,-86.08271545099996,27
35.65784679700005,-88.40923891099999,173
35.31952270900007,-89.15938560399997,-1
33.46951272900003,-81.99309267899997,28
36.99901841700006,-122.06072612599996,26
41.920982,-73.059291,1
30.215283471000077,-92.019410495,29
44.100586650000025,-70.21752800099995,30
42.32639970400004,-71.19052496199998,1
44.490753065000035,-84.41338848599997,-1
48.59004134400004,-93.42977294799994,-1
45.79689588000008,-108.52300901399995,31
39.851702,-74.999916,1
35.40356444500003,-77.94528633899995,292
47.504671243000075,-97.32254468599996,-1
40.03881317300005,-76.35403330799994,1
40.29335490300008,-79.40078198599997,24
42.648401781000075,-79.04004500899998,32
40.735498,-73.997158,1
39.35264721400006,-76.48210958999994,1
42.025303,-93.65024,44
45.55860881700005,-94.31901999899998,33
40.474795966000045,-88.97945274199998,34
33.743896204000066,-90.73437836699998,-1
42.78391859100003,-72.05699022199997,1
41.76388881400004,-74.66880432799996,35
42.43518759700004,-123.29874847199994,-1
40.30544458600008,-78.91844485499996,36
30.46223223900006,-91.07156801499995,37
33.64630724600005,-96.59877240299994,38
37.76078507400007,-77.47810020199995,39
43.195013352000046,-88.73701644199997,11
34.212064,-77.905882,40
32.42035769300003,-87.03382571099996,-1
35.66901553100007,-105.91512160499995,41
35.05861555800004,-78.96130513099996,42
34.09673014800006,-117.95948561399996,43
47.675989945000026,-122.31771230099996,8
35.85460369200007,-81.48414771799997,16
36.13657217700006,-81.18446792799995,-1
41.603550090000056,-93.65390881999996,44
38.0064738,-121.86096733499994,26
36.71775160800007,-95.95412421099996,-1
40.90264198800003,-81.15208609599995,24
39.950931973000024,-75.16608,1
32.44850307200005,-99.74714463099995,45
40.24047983200006,-111.64216080299995,46
35.18502593300008,-101.80878027799996,47
42.47323951200008,-96.36073803699998,48
40.49139336600007,-88.99130726899995,34
39.94013159100007,-91.38677762999998,49
40.885846912000034,-74.04049140099994,1
18.434072,-66.478655,50
34.42934444300005,-119.71722524499997,43
33.43425797200007,-86.11367496899999,-1
33.43568026100007,-112.0549058,51
37.063330894000046,-76.49510392799993,52
43.07144447700006,-88.25629228899999,11
26.233652445000075,-98.24177401499998,53
18.202404,-67.144875,50
40.82729294300003,-73.20172232399995,1
31.276809248000063,-92.475489112,54
41.50994455500006,-72.10303940599994,1
38.33900154600008,-82.94688262099999,55
43.25214676600007,-85.09966999299996,159
42.53888954400003,-83.11880120499995,56
44.304542569000034,-94.47203940799994,-1
31.748512267000024,-89.14937296399995,57
38.59666031400008,-121.28025898,26
42.508620843000074,-90.70690937799998,58
41.43947609400004,-74.42688475899996,1
41.123617172000024,-74.09015265099998,1
28.83023651900004,-81.79773085499994,59
27.438040303000037,-82.59088663399996,60
38.91434225700005,-77.23416418299996,1
41.58037310700007,-87.47381440299995,11
40.77173100400006,-82.57772934399998,24
38.32642842100006,-85.71013834999997,61
41.697492,-83.622983,56
41.80644,-71.412848,1
29.760925,-95.703871,62
27.980036,-81.958431,59
40.53148738400006,-89.00172497999995,34
42.31728749800004,-83.23141729099996,56
26.56062112500007,-81.87854850899998,63
26.55473742600003,-81.88737526399996,63
34.09919,-118.338301,43
39.764986253000075,-84.13749896399997,10
41.871837224000046,-87.65050254599998,11
27.898449,-82.714627,64
43.05541,-89.490781,65
40.90238110300004,-80.85128757299998,24
35.93447497100004,-82.01698767399995,16
40.768668744000024,-73.96479535999998,1
41.633389356000066,-85.00569564899996,-1
41.377036,-83.637531,56
38.30181558100003,-77.47386451199998,66
41.93379092500004,-88.76606470399997,11
32.829662,-96.98076,12
42.079508049000026,-80.09181572999995,24
37.685799958000075,-97.32336691299996,67
38.936783,-92.341048,68
37.774888332000046,-122.220796217,26
34.938394,-81.029884,16
28.435756,-97.75632,-1
37.875759,-122.24851,26
61.18955412200006,-149.82613488799998,69
32.874610920000066,-80.02285172699999,15
37.105229,-80.696055,70
41.007988616000034,-76.44638299299999,1
32.80810358000008,-96.84068711299994,12
29.39580987800008,-94.99960227599996,62
29.98514898700006,-90.10396222699995,71
39.30583370100004,-76.61659054699999,1
41.502281363000066,-81.67435525499997,24
36.066239,-90.58482,72
37.767485,-122.399451,26
37.32272255200007,-121.88698004799994,26
26.046986683000057,-80.23226311499997,4
33.75952441000004,-117.99164265199994,43
35.975487445000056,-83.99584042199996,73
45.489303,-122.805708,0
38.33900438400008,-87.35152172199997,-1
25.81264003800004,-80.36565253299995,4
46.85901290600003,-96.85872867599994,74
37.36266132100008,-87.51213691199996,-1
41.86169657200003,-88.01317116199994,11
36.86618207300006,-76.23425514299998,52
37.811339307000026,-92.21390952499996,75
33.398583,-91.031963,-1
37.10807851100003,-113.55655972299996,76
41.05786624900003,-74.13148640899993,1
43.05535537100008,-76.14835469599996,77
39.831577364000054,-105.002519383,21
26.36612623900004,-80.16802261599997,4
43.03810312500008,-77.08185949199998,77
27.996581719000066,-82.49761578,64
26.464338143000077,-81.77423473099998,63
38.685483,-90.361172,5
30.759099045000028,-89.84527912199997,-1
34.257479825000075,-119.23298353699994,43
44.93769486700006,-122.98196211799996,0
39.35130727500007,-76.61970113499996,1
32.224289,-110.983032,78
32.37456006100007,-95.312454109,79
43.14415044100008,-89.29156093899996,65
